village_name,latitude,longitude
સાહપુર (કચ્છ),22.1234,71.5678
ધમડકા (કચ્છ),23.340818,70.158373
ઉતેળીયા,22.506719,72.204961
ગાંગડ,22.655630,72.307877
સાણંદ,22.9918999,72.3577611
બકરાણા,22.9626294,72.1558563
સિમેજ,22.615259,72.403231
ધીંગડા,22.5657899,72.1980501
દેવચરાડી,22.8335137,71.5357254
જાખોત્રા,23.8475727,71.0977649
રંઘોલા,21.7627594,71.6699957
મોટા-ભેલા (મોરબી),23.0155147,70.6377252
મેંગણી,22.1069115,70.6155091
માણેકવાડા,22.0365597,70.8976552
ધ્રાફા,21.9693151,70.0974083
પાંડવરા,22.7526309,71.438722
ધૂળકોટ,23.0933415,71.0117266
પીપરાળા,23.6503696,71.0589203
કુંતાસી,22.9064237,70.580065
નથુવડલા,22.5923087,70.3339753
જાલીયા દેવાણી,22.4219436,70.3837553
ઘણાંદ,23.097326, 71.290206
રતાડીયા (ગણેશ),22.9358786,69.7404553
વાધરવા,23.062808, 70.826428
છબાસર,22.8040587,72.2418954
ઘુનડા,22.7130997,70.8011752
ડુમાલી,22.738910, 72.169595
મધુપુર (જુના નાગડાવાસ ),22.9858936,70.7826653
અયાવેજ - ૧,21.3772289,71.7326868
વારસંગ બરોડા,22.6702248,72.5575854
મિયાગામ કરજણ,22.0278474,73.0863547
વરતેજ,21.7390151,72.0511799
રૂપાવટી,22.1977761,71.3856646
અગાભી પીપળીયા,22.4833547,70.8340153
નાના મૌવા,22.2752066,70.7541073
પાંડાવદર,21.7210038,69.6144852
લીંબડા હનુભાના,21.7948085,71.6264819
ખેવારીયા,23.231441,70.3933118
ઘંટેશ્વર,22.3336436,70.7407967
બેલા રંગપર,22.8982846,70.8398503
કાટવાણા,22.7789707,74.3304919
મોટી વાવડી,22.2795061,71.7645943
રોજીયા,22.3087938,70.4719303
સથરા,21.3836323,72.1067154
ખોખરી,22.0590466,70.8358141
સજ્જનપર ધુનડા,22.7130997,70.8011752
શિશાગ,22.2151432,70.4816434
ભેંસદડ,22.6403662,70.4000492
ઘાણીથર,23.4498479,70.834921
રોજકા,22.3489742,72.0327401
સાભરાઈ,23.0124699,69.1098189
વડપાંચસરા,22.2224287,70.0891854
વચલીધોડી,22.3731213,70.5024792
પાંચ તલાવડા,21.5948587,71.5077943
ટીમ્બલી,22.9132795,72.8580213
બાડી પડવા,21.6058864,72.214551
વડોદ દેવાશ્રી,22.5597558,71.6394853
અબડાસર,23.2273591,68.5593764
હડમતાળા,22.0475584,70.6534838
ચાંદલી,22.1454457,70.585227
ભડીયાદ,22.2803998,72.1650857
મખીયાવ,22.9441765,72.2371188
કોટડા નાયાણી,22.5084398,70.7728403
પાટિયાળી,22.1125654,71.4002412
ભરૂડી,22.0798897,70.7579103
કાદિપુર,22.2904947,72.1987342
સૂકી સાજડીયાળી,22.0954037,70.9268854
ચભાડીયા,21.8746938,71.6922153
અયાવેજ 2,21.3885987,71.7405575
બહાદુરગઢ,23.0204597,70.7606002
રાપર ખોખરા,23.2500407,70.0193453
કાળીપાટ,22.2368296,70.880017
માછરડા,22.0900437,70.3012354
ગુંગણ,22.958986,70.7142792
નવાગામ,22.3108197,70.8243903
સાંઢિડા,22.1870968,72.1449744
કોલકી,21.7936383,70.2149929
સાતુદડ વાવડી,20.8532088,70.5163952
મછલીવડ,22.1815334,70.2900337
ઘૂનડા,22.7130861,70.7644341
સરાપાદર,22.2802808,70.1990443
ભુણાવા,22.0534445,70.7616203
શેમલા (રાજકોટ),22.0342137,70.7893153
વાઢેળા,22.146614,71.9577515
મોડપર (મોરબી),22.8993215,70.6607258
રાજગઢ (રાજકોટ),22.3769786,70.8268305
શિશાંગ,22.2159713,70.4822578
દલ દેવળીયા,22.1039287,70.1644603
મૂંગા વાવડી,22.109766,70.7305599
કેશીયા,22.7043939,70.3138186
મોડા (મુળી),22.6304249,71.4157892
ખાખડાબેલા,22.5048586,70.5821253
ચાંદીગઢ (જુનાગઢ),21.3494921,70.1969718
નવાનગર,23.2726618,72.8806025
કોટડા સાંઘાણી,22.0287322,70.617317
ચિત્તાગોંગ,22.3573121,91.6542263
મુળી (દરબાર પા),22.6378178,71.4523744
જોધપુર (રાજસ્થાન),26.2703359,72.948142
પેથાપુર(ગાંધીનગર),23.2649667,72.6576217
